计量单位,年份,指标名称,产量,播种面积
,2021春粮,2、高粱,,
,2020,2、高 粱,,
,2019,（四）其  他,7.22,28.57
,2022,一、春粮,73.1,183.6
,2022,2、甘薯,32.8,54.8
,2021春粮,6、其他,0.1,0.24
,2021春粮,（四）其他杂豆,6.87,25.02
,2021,1、早    稻,62.83,101.99
,2022,3、其他谷物,0.2,0.5
,2021春粮,（一）马铃薯,7.62,19.75
,2019,2、春小麦,,
,2021春粮,（一）稻谷,,
,2022,二、早稻,70.2,113.1
,2020,1、谷  子,,
,2022,1、大豆,19.7,73.3
,2020,（二）小麦,40.79,93.36
,2021,（三）玉米,25.56,57.97
,2021春粮,3、双季晚稻,,
,2022,2、大麦,0.5,1.2
,2021春粮,5、荞麦,,
,2019,（三）红小豆,,
,2020,（四）其  他,9.1,33.05
,2020,（一）大  豆,21.75,82.75
,2021春粮,（三）红小豆,,
,2021,其中：夏收豆类,8.15,28.92
,2021,（一）稻谷,469.12,633.36
,2020,秋收谷物,431.41,607.26
,2020,3、双季晚稻,59.52,89.6
,2019,2、高 粱,,
,2019,三、薯类（鲜薯）,165.02,67.44
,2020,三、薯类（鲜薯）,194.05,73.35
,2021春粮,2、春小麦,,
,2020,6、其  他,3.33,9.57
,2021,1、冬小麦,48.34,114.81
,2019,5、荞  麦,,
,2022,三、秋粮,477.7,723.8
,2022,（一）谷物,420.8,582.1
,2019,（一）大  豆,23.36,90.16
,2020,（三）红小豆,,
,2020,一、谷物,536.05,804.25
,2019,1、冬小麦,32.38,82.66
,2022,3、玉米,24.1,55.4
,2019,秋收谷物,435.72,609.39
,2021,1、谷  子,,
,2019,二、豆类,30.58,118.73
,2020,5、荞  麦,,
,2021,2、高 粱,,
,2019,（一）稻谷,462.06,627.52
,2019,（三）玉米,32.32,76.42
,2021春粮,（四）其它谷物,0.8,1.98
,2020,1、早稻,62.78,101.22
,2022,1、单季晚稻,326.7,416.1
,2020,（一）稻谷,465.12,636.02
,2019,6、其  他,1.66,4.27
,2022,4、其他谷物,4.0,10.6
,2021,（三）红小豆,,
,2021,（一）马铃薯（鲜薯）,53.19,27.45
,2021春粮,1、冬小麦,48.34,114.81
,2021,（二）小麦,48.34,114.81
,2021春粮,（二）小麦,48.34,114.81
,2021春粮,二、豆类,8.15,28.92
,2020,1、冬小麦,40.79,93.36
,2019,（二）绿    豆,,
,2019,（二）甘  薯（鲜薯）,101.9,34.63
,2020,其中：青稞,,
,2022,全年粮食合计,621.0,1020.4
,2020,2、中稻和一季晚稻,342.82,445.21
,2022,2、双季晚稻,66.0,100.0
,2019,其中：夏收谷物,32.53,83.07
,2021春粮,4、燕麦,,
,2019,1、早    稻,60.32,98.81
,2022,（二）豆类,21.4,80.1
,2019,（四）其它谷物,1.81,4.68
,2021,三、薯类（鲜薯）,217.38,81.37
,2021,秋收谷物,435.43,598.52
,2021春粮,一、谷物,49.13,116.79
,2021,二、豆类,30.03,108.04
,2019,3、双季晚稻,64.12,102.98
,2021,6、其  他,3.68,9.41
,2021,一、谷物,547.4,817.3
,2020,（一）马铃薯（鲜薯）,44.85,23.54
,2020,3、大  麦,0.89,2.01
,2021,（四）其  他,8.76,32.09
,2019,2、中稻和一季晚稻,337.62,425.73
,2021,（四）其它谷物,4.38,11.16
,2021春粮,（二）绿豆,,
,2020,（三）玉米,25.91,63.28
,2021春粮,3、大麦,0.7,1.74
,2019,4、燕  麦,,
,2021,其中：夏收薯类（鲜薯）,40.21,20.44
,2021,3、大  麦,0.7,1.74
,2021春粮,（二）甘薯,0.42,0.7
,2020,其中：夏收豆类,8.21,27.73
,2020,二、豆类,30.84,115.81
,2021,（一）大  豆,21.27,75.95
,2021,2、中稻和一季晚稻,347.92,440.97
,2021春粮,1、早稻,,
,2020,（四）其它谷物,4.22,11.58
,2022,1、马铃薯,2.7,6.8
,2019,3、大  麦,0.15,0.41
,2020,其中：夏收薯类（鲜薯）,27.98,15.13
,2019,其中：夏收豆类,4.25,16.26
,2021春粮,1、谷子,,
,2022,2、其他豆类,1.8,6.9
,2019,一、谷物,528.57,791.27
,2020,4、燕  麦,,
,2021,5、荞  麦,,
,2021春粮,（一）大豆,1.28,3.9
,2021,（二）绿    豆,,
,2020,其中：夏收谷物,41.85,95.76
,2021春粮,（三）玉米,,
,2020,（二）绿    豆,,
,2022,1、小麦,55.3,130.6
,2019,（一）马铃薯（鲜薯）,63.12,32.81
,2019,（二）小麦,32.38,82.66
,2020,（二）甘  薯（鲜薯）,149.21,49.81
,2019,1、谷  子,,
,2022,（三）薯类,35.5,61.6
,2019,其中：夏收薯类（鲜薯）,53.61,28.06
,2021,3、双季晚稻,58.37,90.41
,2021,4、燕  麦,,
,2021,其中：夏收谷物,49.13,116.79
,2020,2、春小麦,,
,2021春粮,三、薯类,8.04,20.44
,2021春粮,2、中稻和一季晚稻,,
,2021,2、春小麦,,
,2021,（二）甘  薯（鲜薯）,164.19,53.92
